id,ad1,ad2,source_ad1,source_ad2,count.paraphrase,count.nonparaphrase,count.preference_ad1,count.preference_ad2,count.preference_skip
28,(仮称)新川崎駅前プロジェクト,新川崎駅前プロジェクトです。,camera_dev_10070,swallow8b,2,3,0,0,0
29,【鶴瀬】エステサロンを予約,【鶴瀬】でエステサロン予約,camera_dev_10073,calm22b,5,0,1,4,5
30,【鶴瀬】エステサロンを予約,鶴瀬のエステサロンを予約,camera_dev_10073,calm7b,5,0,3,4,3
31,【鶴瀬】エステサロンを予約,【予約】鶴瀬のエステサロン,camera_dev_10073,swallow70b,4,1,2,7,1
32,アイフルの在籍確認について,アイフルの在籍確認、今すぐ確認,camera_dev_1007,calm22b,2,3,0,0,0
33,アイフルの在籍確認について,【在籍確認】アイフル,camera_dev_1007,human,5,0,3,6,1
34,アイフルの在籍確認について,アイフルの在籍確認を今すぐ行う,camera_dev_1007,swallow70b,4,1,2,5,3
35,【新着】曳舟の一軒家情報,新鮮な曳舟の一軒家情報,camera_dev_10086,calm7b,3,2,5,3,2
36,借りやすいキャッシング人気５選,借りやすいキャッシング人気5選,camera_dev_10089,calm7b,5,0,3,2,5
37,借りやすいキャッシング人気５選,借りやすいキャッシング人気5社,camera_dev_10089,swallow8b,5,0,2,3,5
38,バレずにお金借りるならこの4社,バレずに4社でお金借りる,camera_dev_10091,calm22b,2,3,0,0,0
39,グルコサミンより凄いあの成分,驚くほど効果的なあの成分,camera_dev_10093,swallow70b,0,5,0,0,0
40,グルコサミンより凄いあの成分,グルコサミンを超えるあの成分,camera_dev_10093,swallow8b,5,0,2,7,1
41,EXITりんたろーも通う,イグ太ー道,camera_dev_10094,human,1,4,0,0,0
42,ゲームプログラミング高校,ゲーム開発が学べる高校,camera_dev_10098,calm22b,3,2,5,5,0
43,ゲームプログラミング高校,ゲーマー養成専門ハイスクール,camera_dev_10098,human,1,4,0,0,0
44,ゲームプログラミング高校,ゲーム開発のスキルを学べる高校,camera_dev_10098,swallow8b,4,1,2,7,1
45,篠崎駅の一戸建ては,篠崎駅の一戸建て【0001】,camera_dev_10099,calm22b,2,3,0,0,0
46,篠崎駅の一戸建ては,一戸建て＠篠崎駅,camera_dev_10099,human,4,1,2,7,1
47,トゥルバグース サロン,【極上】トゥルバグース サロン,camera_dev_10118,calm22b,3,2,1,7,2
48,【東大和市でおすすめ】美容院,おすすめ美容院＠東大和市,camera_dev_1011,calm22b,5,0,9,0,1
49,【東大和市でおすすめ】美容院,東大和市でおすすめの美容院,camera_dev_1011,swallow70b,3,2,6,2,2
50,【真岡のヘッドスパを予約】,と痛テ真管ニもまんますく,camera_dev_10132,human,4,1,8,0,2
51,【真岡のヘッドスパを予約】,【予約】真岡のヘッドスパ,camera_dev_10132,swallow70b,5,0,0,9,1
52,【2022】おすすめワキガクリーム,おすすめワキガクリーム2022年版,camera_dev_10144,calm22b,5,0,6,3,1
53,採用担当者向け,不採用を回避する方法,camera_dev_10153,calm22b,0,5,0,0,0
54,【2022年最新】AGAクリニック,AGAクリニック【2022年最新】,camera_dev_10154,human,5,0,8,0,2
55,【2022年最新】AGAクリニック,【最新】AGAクリニック比較,camera_dev_10154,swallow70b,1,4,0,0,0
56,【2022年最新】AGAクリニック,最新のAGAクリニック,camera_dev_10154,swallow8b,1,4,0,0,0
57,【公式】栄美容クリニック津,栄美容クリニック津【公式】,camera_dev_10155,human,4,1,7,2,1
58,【公式】栄美容クリニック津,津の【公式】栄美容クリニック,camera_dev_10155,swallow70b,4,1,6,4,0
59,【車査定】ガリバー公式,ガリバー公式【車査定】,camera_dev_1015,calm22b,5,0,7,0,3
60,【車査定】ガリバー公式,ガリバー公式【車査定】,camera_dev_1015,swallow70b,5,0,6,2,2
61,【車査定】ガリバー公式,ガリバー公式【車査定】,camera_dev_1015,swallow8b,5,0,4,1,5
62,【追浜】メンズ美容院・美容室,メンズ美容院【追浜】,camera_dev_10162,human,5,0,5,4,1
63,日本薬科大学 チャレンジ選抜,日本薬科大 挑戦選抜,camera_dev_10169,calm22b,5,0,7,1,2
64,日本薬科大学 チャレンジ選抜,日本薬科大学【チャレンジ選抜】,camera_dev_10169,swallow70b,5,0,1,4,5
65,しつこい油汚れをスッキリ解消,しつこい油汚れ、もう悩まない,camera_dev_10171,calm22b,3,2,5,4,1
66,【柿生】メンズ美容院,【柿生】メンズのための美容院,camera_dev_10176,swallow70b,5,0,3,6,1
67,パールプラス日田店,日田店：パールプラス,camera_dev_10177,calm22b,5,0,6,2,2
68,パールプラス日田店,【パールプラス】日田店,camera_dev_10177,human,4,1,1,6,3
69,【公式】住友不動産株式会社,公式【住友不動産】株式会社,camera_dev_10195,swallow8b,4,1,5,2,3
70,奇習愛,【奇習愛】風習と恋の関係,camera_dev_101,calm22b,0,5,0,0,0
71,公式／十八親和銀行フリーローン,【公式】十八親和銀フリーローン,camera_dev_10211,human,5,0,0,9,1
72,【公式】個別指導のコノ塾,コノ塾【公式】個別指導,camera_dev_10213,calm22b,5,0,8,0,2
73,【公式】個別指導のコノ塾,個別指導なら【公式】コノ塾,camera_dev_10213,calm7b,4,1,6,2,2
74,【公式】個別指導のコノ塾,個別指導のコノ塾【公式】,camera_dev_10213,swallow70b,5,0,9,0,1
75,【公式】個別指導のコノ塾,個別指導の公式塾,camera_dev_10213,swallow8b,0,5,0,0,0
76,【最新版】医療脱毛おすすめTOP5,【2022年度版】医療脱毛推奨五選,camera_dev_10218,calm22b,1,4,0,0,0
77,【最新版】医療脱毛おすすめTOP5,最新版医療脱毛のトップ5,camera_dev_10218,swallow8b,4,1,7,1,2
78,ご契約者様専用サイト,契約者様限定サイト,camera_dev_10226,calm7b,5,0,8,0,2
79,ご契約者様専用サイト,こちらはご契約者様専用サイト,camera_dev_10226,human,5,0,3,3,4
80,ご契約者様専用サイト,【専用サイト】契約者様ログイン,camera_dev_10226,swallow8b,3,2,4,5,1
81,【最新版】個人事業主向けローン,事業者のローン最新版,camera_dev_10230,human,0,5,0,0,0
82,"脱毛は初回/20分1,650円(税込)","初回脱毛20分：¥1,650（税込）",camera_dev_10231,calm22b,5,0,5,4,1
83,"脱毛は初回/20分1,650円(税込)","初回20分脱毛1,650円(税込)",camera_dev_10231,swallow8b,5,0,1,8,1
84,人気の女性向け医療保険,女性向け人気の医療保険,camera_dev_10232,human,5,0,3,6,1
85,【公式】ホットペッパーグルメ,公式ホットペッパーグルメです。,camera_dev_10233,swallow70b,5,0,9,0,1
86,アウトドア スポーツ用品,アウトドア用スポーツ用品,camera_dev_10246,calm22b,4,1,4,4,2
87,アウトドア スポーツ用品,【アウトドア】スポーツ用品,camera_dev_10246,human,5,0,1,6,3
88,アウトドア スポーツ用品,アウトドアスポーツ用品,camera_dev_10246,swallow8b,5,0,0,3,7
89,どうしても今すぐお金が必要,今すぐお金を借りるならこちら,camera_dev_10264,calm7b,2,3,0,0,0
90,今日中にお金が借りれる人気３選,今日中に借りれる人気３選,camera_dev_10266,calm7b,3,2,8,1,1
91,今日中にお金が借りれる人気３選,即日融資可能な人気金融機関３選,camera_dev_10266,swallow70b,4,1,5,5,0
92,純金 ネックレスをお求めなら,純金ネックレスはこちら,camera_dev_10288,calm22b,5,0,6,2,2
93,純金 ネックレスをお求めなら,純金のネックレスをお求めなら,camera_dev_10288,human,5,0,3,4,3
94,純金 ネックレスをお求めなら,純金ネックレスをお求めなら,camera_dev_10288,swallow70b,5,0,1,0,9
95,純金 ネックレスをお求めなら,純金ネックレスをお探しなら,camera_dev_10288,swallow8b,4,1,2,3,5
96,高知県の格安ホテル,格安ホテル【高知県】,camera_dev_10289,calm22b,5,0,3,5,2
97,高知県の格安ホテル,格安ホテル　高知県,camera_dev_10289,human,5,0,3,4,3
98,高知県の格安ホテル,高知県の格安ホテルを探す,camera_dev_10289,swallow70b,4,1,2,7,1
99,レジンコミックス,レジンコミックスです,camera_dev_10290,swallow70b,5,0,4,2,4
100,ペンションラモー／じゃらん,ペンションラモー／じゃらん予約,camera_dev_10294,calm22b,4,1,0,10,0
101,ペンションラモー／じゃらん,ペンションラモー＠じゃらん,camera_dev_10294,swallow70b,5,0,2,3,5
102,土木施工管理の転職なら,土木施工管理の転職はこちら,camera_dev_10298,calm22b,5,0,1,5,4
103,土木施工管理の転職なら,転職なら【土木施工管理】,camera_dev_10298,calm7b,2,3,0,0,0
104,土木施工管理の転職なら,土木施工管理の転職,camera_dev_10298,human,5,0,7,3,0
105,土木施工管理の転職なら,転職なら土木施工管理,camera_dev_10298,swallow8b,2,3,0,0,0
106,【学習塾】俊英館,俊英学習塾,camera_dev_10300,calm22b,2,3,0,0,0
107,【学習塾】俊英館,学習塾の俊英館です。,camera_dev_10300,swallow8b,5,0,4,6,0
108,ラグシーアンドエムイー,ラグシー＆エムイー,camera_dev_10306,calm7b,5,0,1,4,5
109,ラグシーアンドエムイー,ラグシーそしてエムイー,camera_dev_10306,human,4,1,3,3,4
110,ラグシーアンドエムイー,あなたのラグシーアンドエムイー,camera_dev_10306,swallow70b,5,0,4,4,2
111,物置 小型なら,小型物置,camera_dev_10311,calm22b,4,1,3,5,2
112,物置 小型なら,物置 小型なら【こちら】,camera_dev_10311,calm7b,3,2,2,6,2
113,物置 小型なら,小型の物置をお探しですね。,camera_dev_10311,swallow70b,3,2,7,3,0
114,物置 小型なら,小型の物置をお探しですか？,camera_dev_10311,swallow8b,4,1,2,7,1
115,レストラン食事券/ふるさと納税,ふるさと納税でレストラン食事券,camera_dev_10312,human,4,1,3,5,2
116,大湊駅の格安ホテル,大湊駅【即予約】格安ホテル,camera_dev_10325,calm22b,2,3,0,0,0
117,リクルートの求人募集,急募【未経験者可】の求人情報,camera_dev_10334,calm7b,0,5,0,0,0
118,リクルートの求人募集,【急募】リクルートの求人募集,camera_dev_10334,swallow70b,4,1,2,7,1
119,リクルートの求人募集,緊急募集【リクルート求人】,camera_dev_10334,swallow8b,1,4,0,0,0
120,大人向け英会話教室はベルリッツ,ベルリッツで英会話を学ぶ,camera_dev_10340,swallow70b,2,3,0,0,0
121,【伊川谷でおすすめ】ネイル,【伊川谷で美しく】ネイルサロン,camera_dev_10341,calm22b,4,1,2,6,2
122,やる気はあるのに勃たない方,彼はやる気はあるのに勃たない方,camera_dev_10342,calm22b,3,2,6,1,3
123,やる気はあるのに勃たない方,男の自信に悩んでいる方,camera_dev_10342,human,0,5,0,0,0
124,やる気はあるのに勃たない方,彼のやる気はあるのに勃たない方,camera_dev_10342,swallow8b,0,5,0,0,0
125,ノトスヘアー 美容室,ノトスヘアー 美容室です。,camera_dev_10352,swallow70b,5,0,5,2,3
126,アトリエシルク 大宮店,大宮で人気のアトリエシルク,camera_dev_10354,swallow8b,4,1,5,3,2
127,【黒磯温泉】の人気宿から,黒磯温泉の人気宿★予約,camera_dev_10361,calm22b,3,2,2,6,2
128,【黒磯温泉】の人気宿から,【黒磯温泉】の人気宿ランキング,camera_dev_10361,swallow8b,3,2,0,10,0
129,伊勢原市で口コミ1位の整体院,伊勢原市口コミ1位【整体】院,camera_dev_10371,calm22b,5,0,8,1,1
130,伊勢原市で口コミ1位の整体院,伊勢原市で人気１番の整体院,camera_dev_10371,human,5,0,5,4,1
131,NTT東日本/フレッツ光のお問合せ,NTT東日本フレッツ光のサポート,camera_dev_10377,human,5,0,4,3,3
132,石垣島 ホテル 予約,石垣島ホテル予約,camera_dev_10379,calm22b,5,0,3,1,6
133,石垣島 ホテル 予約,石垣島のホテル予約,camera_dev_10379,swallow70b,5,0,2,2,6
134,海外デザイン子供服,かわいい子供服を海外デザイン,camera_dev_1037,calm22b,1,4,0,0,0
135,海外デザイン子供服,子供用海外デザイン服,camera_dev_1037,calm7b,5,0,3,5,2
136,海外デザイン子供服,アメリカ子供服,camera_dev_1037,human,1,4,0,0,0
137,海外デザイン子供服,海外デザインの子供服,camera_dev_1037,swallow70b,4,1,2,2,6
138,マスキングスプレー,【最強】マスキングスプレー登場,camera_dev_10382,calm22b,3,2,0,10,0
139,マスキングスプレー,人気のマスキングスプレー,camera_dev_10382,human,3,2,0,10,0
140,【AGA治療クリニック】,おすすめAGA治療クリニック,camera_dev_10388,calm22b,3,2,2,8,0
141,【AGA治療クリニック】,【AGA】治療クリニック,camera_dev_10388,human,5,0,2,6,2
142,【AGA治療クリニック】,「効果的なAGA治療クリニック」,camera_dev_10388,swallow8b,3,2,5,5,0
143,自分たちの予算に合った結婚式,予算はいくら？結婚式相場を見る,camera_dev_10389,swallow8b,3,2,4,6,0
144,ギグス 栄店,栄店ギグスで輝くひとときを,camera_dev_10395,calm22b,0,5,0,0,0
145,ギグス 栄店,おしゃれなギグス栄店,camera_dev_10395,swallow8b,1,4,0,0,0
146,BREST株式会社,私たちはBREST株式会社です。,camera_dev_10399,swallow70b,2,3,0,0,0
147,おすすめ人気がん保険ランキング,人気の高いがん保険ランキング,camera_dev_10413,swallow70b,5,0,7,2,1
148,デザイナー 求人／企業向け,デザイナー募集／企業向け,camera_dev_10423,swallow70b,5,0,0,7,3
149,デザイナー 求人／企業向け,デザイナー求人／企業向け,camera_dev_10423,swallow8b,5,0,0,0,10
150,ハーヴェストウォーク内,ハーヴェストウォーク内で即対応,camera_dev_10424,calm22b,1,4,0,0,0
151,ハーヴェストウォーク内,ハーヴェストウォーク内【緊急】,camera_dev_10424,swallow70b,2,3,0,0,0
152,エアコン掃除はプロにお任せ,エアコン掃除プロにお任せ,camera_dev_10433,calm22b,5,0,7,1,2
153,エアコン掃除はプロにお任せ,エアコン掃除はプロに任せる,camera_dev_10433,swallow70b,4,1,7,1,2
154,エアコン掃除はプロにお任せ,プロに任せるエアコン掃除,camera_dev_10433,swallow8b,5,0,6,2,2
155,ビームズ ヘアー 大曽根店,【ビームズヘアー】大曽根店,camera_dev_10440,human,4,1,1,5,4
156,肉匠豊乃,肉の達人 豊乃,camera_dev_10452,calm22b,3,2,1,7,2
157,肉匠豊乃,豊乃肉が旨い 高級焼肉店予約,camera_dev_10452,calm7b,1,4,0,0,0
158,肉匠豊乃,肉匠豊乃を探しているのですか？,camera_dev_10452,swallow8b,1,4,0,0,0
159,中野の床屋 BARBER,中野の床屋「BARBER」,camera_dev_10476,calm22b,5,0,1,6,3
160,中野の床屋 BARBER,中野駅近くの床屋 BARBER,camera_dev_10476,calm7b,4,1,1,6,3
161,中野の床屋 BARBER,中野の床屋はこちらBARBER,camera_dev_10476,swallow8b,5,0,5,3,2
162,残業時間も徹底管理,残業時間管理の新常識,camera_dev_10478,calm22b,1,4,0,0,0
163,残業時間も徹底管理,残業時間もしっかり管理します。,camera_dev_10478,swallow8b,5,0,8,1,1
164,即日即金OKの急募アルバイト,即日即金OKの緊急募アルバイト,camera_dev_10488,swallow8b,4,1,5,2,3
165,タイヤキャスター,タイヤ交換方法,camera_dev_10496,calm7b,0,5,0,0,0
166,コティエ,コティエ、どこ？,camera_dev_10505,calm22b,3,2,7,2,1
167,コティエ,コティエ？どんなの？,camera_dev_10505,swallow8b,1,4,0,0,0
168,いんきんたむし石鹸で洗うと悪化,いんきんたむしに効く石鹸,camera_dev_10506,calm7b,0,5,0,0,0
169,エンゼルフォレスト伊豆高原,【伊豆高原】エンゼルフォレスト,camera_dev_10515,human,5,0,0,7,3
170,エンゼルフォレスト伊豆高原,伊豆高原のエンゼルフォレスト,camera_dev_10515,swallow70b,5,0,4,5,1
171,エンゼルフォレスト伊豆高原,伊豆高原のエンゼルフォレスト,camera_dev_10515,swallow8b,4,1,6,3,1
172,【2022ランキング】ワークフロー,2022年業務プロセスランキング,camera_dev_10526,calm22b,1,4,0,0,0
173,【関東発】一人旅ツアー特集,関東発一人旅ツアー特集,camera_dev_10527,calm22b,5,0,7,1,2
174,【関東発】一人旅ツアー特集,一人旅ツアー特集【関東発】,camera_dev_10527,swallow70b,4,1,7,1,2
175,【関東発】一人旅ツアー特集,一人旅ツアー特集【関東発】,camera_dev_10527,swallow8b,4,1,7,2,1
176,【価格.com】住宅ローンを計算,【価格.com】で住宅ローン計算,camera_dev_10531,calm22b,5,0,1,2,7
177,【価格.com】住宅ローンを計算,【価格.com】で住宅ローンを計算,camera_dev_10531,swallow70b,5,0,6,2,2
178,相続手続き丸ごと代行サービス,面倒な相続手続きを丸ごと代行,camera_dev_10547,swallow70b,5,0,2,6,2
179,相続手続き丸ごと代行サービス,相続手続きを丸ごと任せたいなら,camera_dev_10547,swallow8b,5,0,3,6,1
180,新大久保の整体サロン,整体サロンを新大久保にて,camera_dev_10566,human,0,5,0,0,0
181,新大久保の整体サロン,新大久保で体を癒す整体サロン,camera_dev_10566,swallow70b,5,0,2,7,1
182,【公式】楽天カードの家族カード,楽天カードの家族カード【公式】,camera_dev_10570,swallow70b,5,0,8,1,1
183,【公式】楽天カードの家族カード,楽天カードの家族カード【公式】,camera_dev_10570,swallow8b,5,0,5,2,3
184,古剣奇譚,古剣伝説,camera_dev_10574,calm22b,1,4,0,0,0
185,大人向けのアニメグッズ,大人のための【アニメグッズ】,camera_dev_10577,calm22b,4,1,2,6,2
186,オーブヘアー ハク 米沢店,米沢店「オーブヘアー ハク」,camera_dev_10584,calm22b,5,0,5,5,0
187,【築山でおすすめ】美容院,築山の美容院【おすすめ】,camera_dev_10589,calm22b,5,0,4,4,2
188,【築山でおすすめ】美容院,築山でおすすめの美容院,camera_dev_10589,swallow70b,5,0,5,3,2
189,【築山でおすすめ】美容院,おすすめ美容院＠築山,camera_dev_10589,swallow8b,5,0,4,1,5
190,個別カリキュラム,個別カリキュラムで学ぶ,camera_dev_10592,calm7b,3,2,3,5,2
191,個別カリキュラム,個別カリキュラムの学習プラン,camera_dev_10592,swallow70b,0,5,0,0,0
192,個別カリキュラム,個別カリキュラムで学ぶ,camera_dev_10592,swallow8b,3,2,4,4,2
193,La Tipasa (ティパサ) 予約,予約受付中。ティパサ。,camera_dev_10610,calm7b,2,3,0,0,0
194,La Tipasa (ティパサ) 予約,ラ・ティパサ今すぐ予約,camera_dev_10610,human,5,0,5,3,2
195,【今日】お金借りるならこの4社,今日お金借りたい4社,camera_dev_10613,calm22b,5,0,7,2,1
196,【今日】お金借りるならこの4社,今日お金を借りるならこの4社,camera_dev_10613,swallow70b,5,0,6,2,2
197,【今日】お金借りるならこの4社,今日お金を借りるならこの4社,camera_dev_10613,swallow8b,4,1,2,7,1
198,下諏訪温泉の人気宿を検索,下諏訪温泉人気宿を検索,camera_dev_10645,calm22b,5,0,5,1,4
199,下諏訪温泉の人気宿を検索,下諏訪温泉で泊まる。人気宿。,camera_dev_10645,calm7b,3,2,5,5,0
200,下諏訪温泉の人気宿を検索,下諏訪温泉 オススメ宿,camera_dev_10645,human,3,2,5,4,1
201,下諏訪温泉の人気宿を検索,下諏訪温泉の人気宿を検索する,camera_dev_10645,swallow70b,5,0,5,1,4
202,下諏訪温泉の人気宿を検索,下諏訪温泉で人気の宿を探す,camera_dev_10645,swallow8b,5,0,3,5,2
203,【公式】Dクリニック,おすすめのDクリニック【公式】,camera_dev_10649,swallow70b,1,4,0,0,0
204,【公式】Dクリニック,【公式】Dクリニックで受診,camera_dev_10649,swallow8b,3,2,5,3,2
205,【 各メディアで注目の美容室 】,メディアで注目されている美容院,camera_dev_10661,human,5,0,2,6,2
206,【 各メディアで注目の美容室 】,【彼女が選ぶ】注目美容室,camera_dev_10661,swallow8b,0,5,0,0,0
207,CTP,CTP【高品位】印刷物,camera_dev_10665,calm22b,0,5,0,0,0
208,CTP,CTPです。,camera_dev_10665,swallow70b,5,0,4,3,3
209,スーツスタイルMARUTOMI,おすすめスーツスタイルMARUTOMI,camera_dev_10675,swallow70b,3,2,2,8,0
210,AGA薬を使いたくない男女のため,AGA薬なしの治療法,camera_dev_10679,calm22b,2,3,0,0,0
211,口コミ1位獲得,口コミ1位「獲得」,camera_dev_1067,calm7b,5,0,3,5,2
212,【浜町】マッサージサロンを予約,浜町のマッサージサロンを予約,camera_dev_10688,calm22b,5,0,8,2,0
213,【自由が丘駅】SUUMO新築戸建て,スーモ新築戸建　＠自由が丘,camera_dev_10693,human,4,1,7,0,3
214,ワイモバイル×おうち割光セット,ワイモバイルのおうち割光セット,camera_dev_10703,human,5,0,4,1,5
215,最新2022年 がん保険TOP5,【最新2022年】がん保険の5選,camera_dev_10706,human,4,1,3,6,1
216,嫁の浮気を見破る方法はこちら,【見破る】浮気調査ツール,camera_dev_10711,calm22b,3,2,2,7,1
217,嫁の浮気を見破る方法はこちら,こちらは妻の浮気を見破る方法,camera_dev_10711,human,5,0,6,3,1
218,嫁の浮気を見破る方法はこちら,嫁の浮気を見破る方法を教える,camera_dev_10711,swallow70b,5,0,7,1,2
219,嫁の浮気を見破る方法はこちら,嫁の浮気を見破る方法を教えます,camera_dev_10711,swallow8b,5,0,4,4,2
220,低金利の金融機関も比較できる,低金利金融機関比較ツール,camera_dev_10712,calm22b,5,0,3,5,2
221,低金利の金融機関も比較できる,低金利の金融機関も比較できます,camera_dev_10712,swallow8b,5,0,4,4,2
222,【ホットペッパービューティー】,ホットペッパービューティー予約,camera_dev_10713,calm22b,3,2,2,5,3
223,【ホットペッパービューティー】,ホットペッパーで美容室を探す,camera_dev_10713,calm7b,0,5,0,0,0
224,【ホットペッパービューティー】,ホットペッパービューティー,camera_dev_10713,human,5,0,3,1,6
225,ココロヘアー,美容室なら「ココロ」で解決,camera_dev_1073,calm7b,1,4,0,0,0
226,【東二見のおすすめネイル】,東二見でネイルを楽しむ,camera_dev_10740,calm22b,4,1,5,2,3
227,【東二見のおすすめネイル】,おすすめネイルサロン＠東二見,camera_dev_10740,swallow8b,4,1,3,5,2
228,職場にバレずに解決へ,職場に内緒で悩み解決,camera_dev_10744,human,5,0,4,4,2
229,12/16(金)17(土)WEB相談会,12/16(金)17(土)ウェブ相談会,camera_dev_10749,swallow8b,5,0,7,0,3
230,ヘアーグリーングラスイトウ,グリーングラスイトウ,camera_dev_10752,swallow70b,2,3,0,0,0
231,サンフルール比呂,サンフルール比呂のネイルサロン,camera_dev_10757,calm22b,1,4,0,0,0
232,サンフルール比呂,サンフルール比呂です。,camera_dev_10757,swallow70b,4,1,3,2,5
233,サンフルール比呂,サンフルール比呂の情報はこちら,camera_dev_10757,swallow8b,2,3,0,0,0
234,≪公式≫キヅクモ,≪公式≫キヅクモ【公式サイト】,camera_dev_10759,swallow70b,4,1,2,6,2
235,【業界最安級】アンテナ工事なら,業界最安級アンテナ工事,camera_dev_1076,calm7b,5,0,7,3,0
236,【2022】人気クレジットカード,2022年人気クレジットカード,camera_dev_10778,calm22b,5,0,5,4,1
237,【2022】人気クレジットカード,2022年人気のクレジットカード,camera_dev_10778,swallow70b,5,0,9,0,1
238,【2022】人気クレジットカード,2022年人気のクレジットカード,camera_dev_10778,swallow8b,5,0,3,5,2
239,ヘアスタジオ エッジ 松井山手店,おすすめの美容室@松井山手,camera_dev_10779,calm7b,0,5,0,0,0
240,おもてなしとりよし 横浜西口店,横浜西口店おもてなしとりよし,camera_dev_10780,human,4,1,7,1,2
241,ラプチャー 上小田井,上小田井の「ラプチャー」,camera_dev_1079,calm22b,4,1,1,6,3
242,ラプチャー 上小田井,ラプチャー＠上小田井,camera_dev_1079,swallow70b,3,2,4,2,4
243,ラプチャー 上小田井,ラプチャー 上小田井店,camera_dev_1079,swallow8b,5,0,0,5,5
244,人材コーディネーターの転職,[転職]人材コーディネーター,camera_dev_10801,human,5,0,1,8,1
245,【公式】U,【公式】U【解決】,camera_dev_10802,calm22b,0,5,0,0,0
246,【公式】U,公式U,camera_dev_10802,calm7b,4,1,7,0,3
247,高齢者や病気があっても入れる,高齢者・病気でも入れる保険,camera_dev_10803,calm22b,3,2,5,5,0
248,高齢者や病気があっても入れる,高齢者、疾患があっても大丈夫,camera_dev_10803,human,5,0,4,3,3
249,高齢者や病気があっても入れる,高齢者や病気でも入れる保険,camera_dev_10803,swallow8b,1,4,0,0,0
250,北川さんは繋がりたい,北川氏と緊密に繋がる,camera_dev_10804,calm22b,0,5,0,0,0
251,北川さんは繋がりたい,北川さんと繋がりたい,camera_dev_10804,swallow70b,1,4,0,0,0
252,マンガ・イラストコース,マンガ・イラストコースで学ぼう,camera_dev_10808,calm22b,4,1,1,8,1
253,マンガ・イラストコース,「描く」マンガ・イラストコース,camera_dev_10808,swallow8b,3,2,4,5,1
254,低金利のマイカーローン,低金利で夢のマイカーを実現,camera_dev_10811,calm22b,4,1,5,5,0
255,低金利のマイカーローン,金利が安い車のローン,camera_dev_10811,human,4,1,8,1,1
256,【公式サイト】新築そっくりさん,新築そっくりさん【公式】,camera_dev_10815,swallow70b,5,0,6,4,0
257,【公式サイト】新築そっくりさん,【公式】新築そっくりさんを探す,camera_dev_10815,swallow8b,3,2,5,5,0
