id,input_ad,generated_ad1,generated_ad2,count.preference_ad1,count.preference_ad2,count.preference_skip,source_input_ad,model_ad1,model_ad2,split
22,【公式】個別指導のコノ塾,個別指導なら【公式】コノ塾,コノ塾【公式】個別指導,7,2,1,camera_dev_10213,calm7b,calm22b,train
23,【公式】個別指導のコノ塾,個別指導のコノ塾【公式】,コノ塾【公式】個別指導,8,1,1,camera_dev_10213,swallow70b,calm22b,train
24,【公式】個別指導のコノ塾,個別指導のコノ塾【公式】,個別指導なら【公式】コノ塾,5,1,4,camera_dev_10213,swallow70b,calm7b,train
25,ご契約者様専用サイト,こちらはご契約者様専用サイト,契約者様限定サイト,5,3,2,camera_dev_10226,human,calm7b,train
26,ご契約者様専用サイト,【専用サイト】契約者様ログイン,契約者様限定サイト,5,5,0,camera_dev_10226,swallow8b,calm7b,train
27,ご契約者様専用サイト,【専用サイト】契約者様ログイン,こちらはご契約者様専用サイト,8,1,1,camera_dev_10226,swallow8b,human,train
28,"脱毛は初回/20分1,650円(税込)","初回20分脱毛1,650円(税込)","初回脱毛20分：¥1,650（税込）",4,5,1,camera_dev_10231,swallow8b,calm22b,test
29,アウトドア スポーツ用品,【アウトドア】スポーツ用品,アウトドア用スポーツ用品,8,0,2,camera_dev_10246,human,calm22b,train
30,アウトドア スポーツ用品,アウトドアスポーツ用品,アウトドア用スポーツ用品,3,3,4,camera_dev_10246,swallow8b,calm22b,train
31,アウトドア スポーツ用品,アウトドアスポーツ用品,【アウトドア】スポーツ用品,1,7,2,camera_dev_10246,swallow8b,human,train
32,今日中にお金が借りれる人気３選,即日融資可能な人気金融機関３選,今日中に借りれる人気３選,9,1,0,camera_dev_10266,swallow70b,calm7b,train
33,純金 ネックレスをお求めなら,純金のネックレスをお求めなら,純金ネックレスはこちら,7,2,1,camera_dev_10288,human,calm22b,train
34,純金 ネックレスをお求めなら,純金ネックレスをお求めなら,純金ネックレスはこちら,5,3,2,camera_dev_10288,swallow70b,calm22b,train
35,純金 ネックレスをお求めなら,純金ネックレスをお求めなら,純金のネックレスをお求めなら,3,3,4,camera_dev_10288,swallow70b,human,train
36,純金 ネックレスをお求めなら,純金ネックレスをお探しなら,純金ネックレスはこちら,8,0,2,camera_dev_10288,swallow8b,calm22b,train
37,純金 ネックレスをお求めなら,純金ネックレスをお探しなら,純金のネックレスをお求めなら,2,7,1,camera_dev_10288,swallow8b,human,train
38,純金 ネックレスをお求めなら,純金ネックレスをお探しなら,純金ネックレスをお求めなら,6,1,3,camera_dev_10288,swallow8b,swallow70b,train
39,高知県の格安ホテル,格安ホテル　高知県,格安ホテル【高知県】,1,7,2,camera_dev_10289,human,calm22b,train
40,高知県の格安ホテル,高知県の格安ホテルを探す,格安ホテル【高知県】,5,5,0,camera_dev_10289,swallow70b,calm22b,train
41,高知県の格安ホテル,高知県の格安ホテルを探す,格安ホテル　高知県,4,5,1,camera_dev_10289,swallow70b,human,train
42,ペンションラモー／じゃらん,ペンションラモー＠じゃらん,ペンションラモー／じゃらん予約,1,7,2,camera_dev_10294,swallow70b,calm22b,train
43,土木施工管理の転職なら,土木施工管理の転職,土木施工管理の転職はこちら,1,7,2,camera_dev_10298,human,calm22b,train
44,ラグシーアンドエムイー,ラグシーそしてエムイー,ラグシー＆エムイー,1,8,1,camera_dev_10306,human,calm7b,train
45,ラグシーアンドエムイー,あなたのラグシーアンドエムイー,ラグシー＆エムイー,2,8,0,camera_dev_10306,swallow70b,calm7b,train
46,ラグシーアンドエムイー,あなたのラグシーアンドエムイー,ラグシーそしてエムイー,7,2,1,camera_dev_10306,swallow70b,human,train
47,物置 小型なら,物置 小型なら【こちら】,小型物置,8,1,1,camera_dev_10311,calm7b,calm22b,train
48,物置 小型なら,小型の物置をお探しですね。,小型物置,5,3,2,camera_dev_10311,swallow70b,calm22b,train
49,物置 小型なら,小型の物置をお探しですね。,物置 小型なら【こちら】,2,7,1,camera_dev_10311,swallow70b,calm7b,train
50,物置 小型なら,小型の物置をお探しですか？,小型物置,6,3,1,camera_dev_10311,swallow8b,calm22b,train
51,物置 小型なら,小型の物置をお探しですか？,物置 小型なら【こちら】,4,6,0,camera_dev_10311,swallow8b,calm7b,train
52,物置 小型なら,小型の物置をお探しですか？,小型の物置をお探しですね。,6,1,3,camera_dev_10311,swallow8b,swallow70b,train
53,【黒磯温泉】の人気宿から,【黒磯温泉】の人気宿ランキング,黒磯温泉の人気宿★予約,8,1,1,camera_dev_10361,swallow8b,calm22b,train
54,伊勢原市で口コミ1位の整体院,伊勢原市で人気１番の整体院,伊勢原市口コミ1位【整体】院,1,7,2,camera_dev_10371,human,calm22b,train
55,石垣島 ホテル 予約,石垣島のホテル予約,石垣島ホテル予約,6,2,2,camera_dev_10379,swallow70b,calm22b,train
56,海外デザイン子供服,海外デザインの子供服,子供用海外デザイン服,10,0,0,camera_dev_1037,swallow70b,calm7b,train
57,マスキングスプレー,人気のマスキングスプレー,【最強】マスキングスプレー登場,3,7,0,camera_dev_10382,human,calm22b,train
58,【AGA治療クリニック】,【AGA】治療クリニック,おすすめAGA治療クリニック,6,4,0,camera_dev_10388,human,calm22b,train
59,【AGA治療クリニック】,「効果的なAGA治療クリニック」,おすすめAGA治療クリニック,2,4,4,camera_dev_10388,swallow8b,calm22b,train
60,【AGA治療クリニック】,「効果的なAGA治療クリニック」,【AGA】治療クリニック,3,7,0,camera_dev_10388,swallow8b,human,train
61,デザイナー 求人／企業向け,デザイナー求人／企業向け,デザイナー募集／企業向け,1,7,2,camera_dev_10423,swallow8b,swallow70b,train
62,エアコン掃除はプロにお任せ,エアコン掃除はプロに任せる,エアコン掃除プロにお任せ,1,8,1,camera_dev_10433,swallow70b,calm22b,train
63,エアコン掃除はプロにお任せ,プロに任せるエアコン掃除,エアコン掃除プロにお任せ,4,3,3,camera_dev_10433,swallow8b,calm22b,train
64,エアコン掃除はプロにお任せ,プロに任せるエアコン掃除,エアコン掃除はプロに任せる,5,4,1,camera_dev_10433,swallow8b,swallow70b,train
65,中野の床屋 BARBER,中野駅近くの床屋 BARBER,中野の床屋「BARBER」,5,5,0,camera_dev_10476,calm7b,calm22b,train
66,中野の床屋 BARBER,中野の床屋はこちらBARBER,中野の床屋「BARBER」,1,8,1,camera_dev_10476,swallow8b,calm22b,train
67,中野の床屋 BARBER,中野の床屋はこちらBARBER,中野駅近くの床屋 BARBER,2,7,1,camera_dev_10476,swallow8b,calm7b,train
68,エンゼルフォレスト伊豆高原,伊豆高原のエンゼルフォレスト,【伊豆高原】エンゼルフォレスト,1,4,5,camera_dev_10515,swallow70b,human,train
69,エンゼルフォレスト伊豆高原,伊豆高原のエンゼルフォレスト,【伊豆高原】エンゼルフォレスト,2,4,4,camera_dev_10515,swallow8b,human,train
70,【関東発】一人旅ツアー特集,一人旅ツアー特集【関東発】,関東発一人旅ツアー特集,9,1,0,camera_dev_10527,swallow70b,calm22b,train
71,【関東発】一人旅ツアー特集,一人旅ツアー特集【関東発】,関東発一人旅ツアー特集,9,1,0,camera_dev_10527,swallow8b,calm22b,train
72,【価格.com】住宅ローンを計算,【価格.com】で住宅ローンを計算,【価格.com】で住宅ローン計算,3,4,3,camera_dev_10531,swallow70b,calm22b,train
73,相続手続き丸ごと代行サービス,相続手続きを丸ごと任せたいなら,面倒な相続手続きを丸ごと代行,3,3,4,camera_dev_10547,swallow8b,swallow70b,train
74,【築山でおすすめ】美容院,築山でおすすめの美容院,築山の美容院【おすすめ】,4,5,1,camera_dev_10589,swallow70b,calm22b,train
75,【築山でおすすめ】美容院,おすすめ美容院＠築山,築山の美容院【おすすめ】,2,6,2,camera_dev_10589,swallow8b,calm22b,train
76,【築山でおすすめ】美容院,おすすめ美容院＠築山,築山でおすすめの美容院,4,4,2,camera_dev_10589,swallow8b,swallow70b,train
77,【今日】お金借りるならこの4社,今日お金を借りるならこの4社,今日お金借りたい4社,6,4,0,camera_dev_10613,swallow70b,calm22b,train
78,【今日】お金借りるならこの4社,今日お金を借りるならこの4社,今日お金借りたい4社,8,2,0,camera_dev_10613,swallow8b,calm22b,train
79,下諏訪温泉の人気宿を検索,下諏訪温泉で泊まる。人気宿。,下諏訪温泉人気宿を検索,3,6,1,camera_dev_10645,calm7b,calm22b,train
80,下諏訪温泉の人気宿を検索,下諏訪温泉 オススメ宿,下諏訪温泉人気宿を検索,7,2,1,camera_dev_10645,human,calm22b,train
81,下諏訪温泉の人気宿を検索,下諏訪温泉 オススメ宿,下諏訪温泉で泊まる。人気宿。,6,2,2,camera_dev_10645,human,calm7b,train
82,下諏訪温泉の人気宿を検索,下諏訪温泉の人気宿を検索する,下諏訪温泉人気宿を検索,4,3,3,camera_dev_10645,swallow70b,calm22b,train
83,下諏訪温泉の人気宿を検索,下諏訪温泉の人気宿を検索する,下諏訪温泉で泊まる。人気宿。,3,5,2,camera_dev_10645,swallow70b,calm7b,train
84,下諏訪温泉の人気宿を検索,下諏訪温泉の人気宿を検索する,下諏訪温泉 オススメ宿,5,4,1,camera_dev_10645,swallow70b,human,train
85,下諏訪温泉の人気宿を検索,下諏訪温泉で人気の宿を探す,下諏訪温泉人気宿を検索,6,2,2,camera_dev_10645,swallow8b,calm22b,train
86,下諏訪温泉の人気宿を検索,下諏訪温泉で人気の宿を探す,下諏訪温泉で泊まる。人気宿。,7,2,1,camera_dev_10645,swallow8b,calm7b,train
87,下諏訪温泉の人気宿を検索,下諏訪温泉で人気の宿を探す,下諏訪温泉 オススメ宿,5,4,1,camera_dev_10645,swallow8b,human,train
88,下諏訪温泉の人気宿を検索,下諏訪温泉で人気の宿を探す,下諏訪温泉の人気宿を検索する,6,1,3,camera_dev_10645,swallow8b,swallow70b,train
89,嫁の浮気を見破る方法はこちら,こちらは妻の浮気を見破る方法,【見破る】浮気調査ツール,3,7,0,camera_dev_10711,human,calm22b,train
90,嫁の浮気を見破る方法はこちら,嫁の浮気を見破る方法を教える,【見破る】浮気調査ツール,3,7,0,camera_dev_10711,swallow70b,calm22b,train
91,嫁の浮気を見破る方法はこちら,嫁の浮気を見破る方法を教える,こちらは妻の浮気を見破る方法,4,5,1,camera_dev_10711,swallow70b,human,train
92,嫁の浮気を見破る方法はこちら,嫁の浮気を見破る方法を教えます,【見破る】浮気調査ツール,5,5,0,camera_dev_10711,swallow8b,calm22b,train
93,嫁の浮気を見破る方法はこちら,嫁の浮気を見破る方法を教えます,こちらは妻の浮気を見破る方法,8,2,0,camera_dev_10711,swallow8b,human,train
94,嫁の浮気を見破る方法はこちら,嫁の浮気を見破る方法を教えます,嫁の浮気を見破る方法を教える,6,1,3,camera_dev_10711,swallow8b,swallow70b,train
95,低金利の金融機関も比較できる,低金利の金融機関も比較できます,低金利金融機関比較ツール,1,8,1,camera_dev_10712,swallow8b,calm22b,train
96,【ホットペッパービューティー】,ホットペッパービューティー,ホットペッパービューティー予約,0,7,3,camera_dev_10713,human,calm22b,train
97,【東二見のおすすめネイル】,おすすめネイルサロン＠東二見,東二見でネイルを楽しむ,8,2,0,camera_dev_10740,swallow8b,calm22b,train
98,【2022】人気クレジットカード,2022年人気のクレジットカード,2022年人気クレジットカード,4,1,5,camera_dev_10778,swallow70b,calm22b,train
99,【2022】人気クレジットカード,2022年人気のクレジットカード,2022年人気クレジットカード,5,1,4,camera_dev_10778,swallow8b,calm22b,train
100,ラプチャー 上小田井,ラプチャー＠上小田井,上小田井の「ラプチャー」,3,3,4,camera_dev_1079,swallow70b,calm22b,train
101,ラプチャー 上小田井,ラプチャー 上小田井店,上小田井の「ラプチャー」,6,3,1,camera_dev_1079,swallow8b,calm22b,train
102,ラプチャー 上小田井,ラプチャー 上小田井店,ラプチャー＠上小田井,3,6,1,camera_dev_1079,swallow8b,swallow70b,train
103,高齢者や病気があっても入れる,高齢者、疾患があっても大丈夫,高齢者・病気でも入れる保険,0,9,1,camera_dev_10803,human,calm22b,test
104,マンガ・イラストコース,「描く」マンガ・イラストコース,マンガ・イラストコースで学ぼう,4,5,1,camera_dev_10808,swallow8b,calm22b,train
105,低金利のマイカーローン,金利が安い車のローン,低金利で夢のマイカーを実現,4,5,1,camera_dev_10811,human,calm22b,test
106,【公式サイト】新築そっくりさん,【公式】新築そっくりさんを探す,新築そっくりさん【公式】,5,3,2,camera_dev_10815,swallow8b,swallow70b,train
107,【上永谷】メンズ美容院,メンズ美容院【上永谷】,メンズ美容院＠上永谷,5,3,2,camera_dev_10838,swallow70b,human,test
108,浦安口コミ上位の骨盤矯正,浦安で骨盤矯正ならどこがいい？,浦安で口コミ上位の骨盤矯正は？,5,4,1,camera_dev_10880,swallow70b,calm22b,train
109,マルチビタミンの決定版,決定版マルチビタミンです,マルチビタミンの【決定版】,3,6,1,camera_dev_1088,swallow70b,calm22b,train
110,【エアコン 修理】,エアコン 修理,エアコンの修理サービス,0,9,1,camera_dev_10906,swallow70b,calm22b,train
111,【エアコン 修理】,エアコン修理します,エアコンの修理サービス,5,5,0,camera_dev_10906,swallow8b,calm22b,train
112,【エアコン 修理】,エアコン修理します,エアコン 修理,6,2,2,camera_dev_10906,swallow8b,swallow70b,train
113,上野・御徒町のタイマッサージ店,御徒町・上野 タイマッサージ店,タイマッサージ店＠上野・御徒町,4,6,0,camera_dev_10928,calm7b,calm22b,train
114,上野・御徒町のタイマッサージ店,タイマッサージ店上野御徒町店,タイマッサージ店＠上野・御徒町,3,6,1,camera_dev_10928,human,calm22b,train
115,上野・御徒町のタイマッサージ店,タイマッサージ店上野御徒町店,御徒町・上野 タイマッサージ店,5,5,0,camera_dev_10928,human,calm7b,train
116,dodaは公務員の転職に強い,公務員転職に強いdoda,doda【公務員の転職に強い】,3,7,0,camera_dev_10946,swallow70b,calm22b,train
117,dodaは公務員の転職に強い,公務員の転職に強い【doda】,doda【公務員の転職に強い】,8,1,1,camera_dev_10946,swallow8b,calm22b,train
118,dodaは公務員の転職に強い,公務員の転職に強い【doda】,公務員転職に強いdoda,7,0,3,camera_dev_10946,swallow8b,swallow70b,train
119,【2022年】医療保険ランキング,2022年の医療保険ランキング,医療保険ランキング【2022年】,5,4,1,camera_dev_1094,human,calm22b,train
120,【2022年】医療保険ランキング,【医療保険】2022年ランキング,医療保険ランキング【2022年】,4,3,3,camera_dev_1094,swallow70b,calm22b,train
121,【2022年】医療保険ランキング,【医療保険】2022年ランキング,2022年の医療保険ランキング,9,1,0,camera_dev_1094,swallow70b,human,train
122,【2022年】医療保険ランキング,【2022年】ランキング｜医療保険,医療保険ランキング【2022年】,4,4,2,camera_dev_1094,swallow8b,calm22b,train
123,【2022年】医療保険ランキング,【2022年】ランキング｜医療保険,2022年の医療保険ランキング,6,4,0,camera_dev_1094,swallow8b,human,train
124,【2022年】医療保険ランキング,【2022年】ランキング｜医療保険,【医療保険】2022年ランキング,4,5,1,camera_dev_1094,swallow8b,swallow70b,train
125,24時間365日0円相談,24時間365日無料相談,相談は24時間365日0円,9,0,1,camera_dev_10957,swallow70b,human,train
126,24時間365日0円相談,24時間365日無料相談,相談は24時間365日0円,7,1,2,camera_dev_10957,swallow8b,human,train
127,公式サイト,公式サイトです。,「公式」でチェックする,2,6,2,camera_dev_10959,swallow70b,calm22b,train
128,こだわりの住宅をお値打ち価格で,【お値打ち価格】こだわりの住宅,【こだわり住宅】お値打ち価格,7,1,2,camera_dev_10972,swallow70b,calm22b,train
129,こだわりの住宅をお値打ち価格で,【お値打ち価格】こだわりの住宅,【こだわり住宅】お値打ち価格,7,3,0,camera_dev_10972,swallow8b,calm22b,train
130,最新はこちら,最新情報はこちらです。,最新情報はこちら 必見です,3,6,1,camera_dev_10986,swallow70b,calm7b,train
131,最新はこちら,最新情報はこちら,最新情報はこちら 必見です,3,5,2,camera_dev_10986,swallow8b,calm7b,train
132,最新はこちら,最新情報はこちら,最新情報はこちらです。,6,3,1,camera_dev_10986,swallow8b,swallow70b,train
133,【公式】エミナルクリニック,公式エミナルクリニック,エミナルクリニック【公式】,0,10,0,camera_dev_10989,human,calm22b,train
134,【公式】エミナルクリニック,公式エミナルクリニック,エミナルクリニック【公式】,1,7,2,camera_dev_10989,swallow8b,calm22b,train
135,トッカ 船橋店,トッカ船橋店,おすすめ服屋「トッカ」船橋店,2,8,0,camera_dev_11009,swallow8b,calm7b,train
136,公式HPからのご予約が一番お得,公式HPからの予約が一番おトク,公式HP予約が一番お得,6,1,3,camera_dev_11032,calm7b,calm22b,train
137,アフラック／がんを経験された方,アフラックがん経験者向け,アフラック／がん経験者向け保険,0,9,1,camera_dev_11077,swallow8b,calm22b,train
138,損/後悔しない保険相談するなら,損/後悔しない保険相談,「損しない保険選び」相談する,5,3,2,camera_dev_11101,human,calm22b,valid
139,損/後悔しない保険相談するなら,後悔しない保険相談なら,「損しない保険選び」相談する,6,4,0,camera_dev_11101,swallow70b,calm22b,valid
140,損/後悔しない保険相談するなら,後悔しない保険相談なら,損/後悔しない保険相談,7,2,1,camera_dev_11101,swallow70b,human,valid
141,損/後悔しない保険相談するなら,後悔しない保険相談をしましょう,「損しない保険選び」相談する,5,4,1,camera_dev_11101,swallow8b,calm22b,valid
142,損/後悔しない保険相談するなら,後悔しない保険相談をしましょう,損/後悔しない保険相談,7,3,0,camera_dev_11101,swallow8b,human,valid
143,損/後悔しない保険相談するなら,後悔しない保険相談をしましょう,後悔しない保険相談なら,2,6,2,camera_dev_11101,swallow8b,swallow70b,valid
144,【2022年比較】,2022年で比較する,「2022年最新」の【比較】情報,1,9,0,camera_dev_11106,human,calm22b,train
145,【2022年比較】,2022年版【比較】,「2022年最新」の【比較】情報,3,6,1,camera_dev_11106,swallow70b,calm22b,train
146,【2022年比較】,2022年版【比較】,2022年で比較する,7,1,2,camera_dev_11106,swallow70b,human,train
147,関東の温泉の宿予約,関東の温泉宿予約はこちらから,関東の温泉宿を予約,7,2,1,camera_dev_1111,swallow70b,calm22b,train
148,【企業様向け】,法人向け,【法人向け】,0,5,5,camera_dev_11122,swallow70b,calm22b,train
149,スクールに入って正解でした,入学してよかったです,【正解でした】スクールに入って,4,6,0,camera_dev_11130,swallow70b,human,valid
150,スクールに入って正解でした,スクールに通ってよかったです,【正解でした】スクールに入って,5,3,2,camera_dev_11130,swallow8b,human,valid
151,スクールに入って正解でした,スクールに通ってよかったです,入学してよかったです,6,4,0,camera_dev_11130,swallow8b,swallow70b,valid
152,【NHKで話題】頻尿ケア,NHKで話題の「頻尿ケア」,頻尿ケア、NHKで話題沸騰,7,1,2,camera_dev_11151,swallow70b,calm22b,train
153,【NHKで話題】頻尿ケア,NHKで話題の【頻尿ケア】,頻尿ケア、NHKで話題沸騰,7,3,0,camera_dev_11151,swallow8b,calm22b,train
154,【NHKで話題】頻尿ケア,NHKで話題の【頻尿ケア】,NHKで話題の「頻尿ケア」,3,1,6,camera_dev_11151,swallow8b,swallow70b,train
155,リクナビ派遣／公式サイト,リクナビ派遣の公式サイト,リクナビ派遣【公式サイト】,1,7,2,camera_dev_11162,swallow70b,calm22b,test
156,リクナビ派遣／公式サイト,リクナビ派遣の公式サイト,リクナビ派遣【公式サイト】,0,10,0,camera_dev_11162,swallow8b,calm22b,test
157,有名レストランで食事できる,有名レストランの食事体験,有名レストランで食事を楽しむ,1,7,2,camera_dev_11163,human,calm22b,train
158,【公式サイト】ホームプロ,ホームプロ　公式,信頼の【公式】ホームプロ,2,5,3,camera_dev_11171,human,calm22b,train
159,全国で人材採用、求人掲載なら,全国の人材採用、求人掲載なら,【全国】人材採用・求人掲載なら,3,7,0,camera_dev_11179,calm7b,calm22b,train
160,【公式】N organic Vie,公式N オレンジ　バイ,【公式】N organic Vieで美活,2,6,2,camera_dev_1117,human,calm22b,train
161,無料 の 動画を探す,無料の動画を探す,無料動画を探すならココ,0,8,2,camera_dev_1118,swallow8b,swallow70b,train
162,実績多数のプロマーケターを紹介,プロマーケター紹介【実績多数】,プロマーケター紹介実績多数,10,0,0,camera_dev_11214,swallow70b,calm22b,train
163,【何としてでも今すぐ借りたい】,何としてでも今すぐ借りたい方は,何としてでも今すぐ借りたい,4,4,2,camera_dev_11216,calm7b,calm22b,train
164,USJ発・八王子行き,「USJ発」　八王子行き,八王子行きのバス、USJから,8,2,0,camera_dev_11226,human,calm7b,train
165,【楽天】ludlow blunt,【楽天】の　ludlow blunt,楽天でおすすめのludlow blunt,6,3,1,camera_dev_11227,human,calm22b,train
166,新卒1～3年目の転職支援なら,転職支援 新卒1～3年目向け,新卒1～3年目の方向け転職支援,2,8,0,camera_dev_11233,human,calm22b,train
167,新卒1～3年目の転職支援なら,新卒1～3年目で転職したい人へ,新卒1～3年目の方向け転職支援,3,5,2,camera_dev_11233,swallow8b,calm22b,train
168,新卒1～3年目の転職支援なら,新卒1～3年目で転職したい人へ,転職支援 新卒1～3年目向け,4,5,1,camera_dev_11233,swallow8b,human,train
169,【公式】コミックシーモア,コミックシーモア【公式】,【公式サイト】コミックシーモア,4,6,0,camera_dev_1124,swallow8b,human,train
170,最大10社の査定額を簡単比較,最大10社で査定額を比較する,簡単10社比較で最高売却額GET,3,5,2,camera_dev_11250,swallow70b,calm7b,train
171,【公式】チャレンジタッチ,【公式】チャレンジタッチです。,公式チャレンジタッチ,3,4,3,camera_dev_11279,swallow70b,calm22b,train
172,【公式】チャレンジタッチ,公式の「チャレンジタッチ」,公式チャレンジタッチ,2,3,5,camera_dev_11279,swallow8b,calm22b,train
173,【公式】チャレンジタッチ,公式の「チャレンジタッチ」,【公式】チャレンジタッチです。,2,7,1,camera_dev_11279,swallow8b,swallow70b,train
174,アクサダイレクトの自動車保険,自動車保険【アクサダイレクト】,アクサダイレクトの任意保険,9,1,0,camera_dev_11304,swallow70b,human,train
175,アクサダイレクトの自動車保険,自動車保険ならアクサダイレクト,アクサダイレクトの任意保険,6,3,1,camera_dev_11304,swallow8b,human,train
176,アクサダイレクトの自動車保険,自動車保険ならアクサダイレクト,自動車保険【アクサダイレクト】,1,8,1,camera_dev_11304,swallow8b,swallow70b,train
177,新宿駅西口徒歩5分/完全個室制,新宿駅西口徒歩5分 完全個室制,新宿駅西口徒歩5分、完全個室制,3,1,6,camera_dev_11325,swallow8b,calm22b,train
178,営業職専門の転職サポート,営業職専門【転職サポート】,営業職専門転職支援,9,0,1,camera_dev_11389,calm7b,calm22b,test
179,営業職専門の転職サポート,営業職専門の転職支援,営業職専門転職支援,6,0,4,camera_dev_11389,swallow70b,calm22b,test
180,営業職専門の転職サポート,営業職専門の転職支援,営業職専門【転職サポート】,2,5,3,camera_dev_11389,swallow70b,calm7b,test
181,【公式】タマホーム,【公式】たまホーム,【公式】たまほーむ,5,1,4,camera_dev_11465,swallow70b,calm22b,train
182,価格comで終身保険を徹底比較,【価格コム】終身保険一括比較,【終身保険】価格.comで徹底比較,2,7,1,camera_dev_11475,human,calm22b,train
183,【仙台のまゆげサロン】,仙台のアイブロウサロン,仙台のおすすめまゆげサロン,2,7,1,camera_dev_11488,human,calm22b,train
184,【仙台のまゆげサロン】,まゆげサロン＠仙台,仙台のおすすめまゆげサロン,3,5,2,camera_dev_11488,swallow70b,calm22b,train
185,【仙台のまゆげサロン】,まゆげサロン＠仙台,仙台のアイブロウサロン,6,2,2,camera_dev_11488,swallow70b,human,train
186,リフォームっていくらから？,リフォームの費用は？,リフォームの費用はいくらから？,1,8,1,camera_dev_11503,swallow8b,swallow70b,train
187,ステラバイケンジ 美容院,ステラバイケンジ美容院,ステラバイケンジの美容院,4,2,4,camera_dev_1151,swallow70b,calm22b,train
188,"最大75%OFFの月9,780円から","最大75%OFFで月9,780円から","驚きの【75%OFF】月9,780円から",0,10,0,camera_dev_11558,swallow70b,calm22b,train
189,求人募集 福岡をお探しの企業様,福岡で求人を募集する企業様へ,福岡で求人募集している企業様へ,3,4,3,camera_dev_11583,swallow8b,calm22b,train
190,今なら在庫ございます,今なら在庫ございます。,在庫が現在確保されております,4,3,3,camera_dev_11594,swallow70b,calm22b,train
191,今なら在庫ございます,在庫は「今」あります,在庫が現在確保されております,3,4,3,camera_dev_11594,swallow8b,calm22b,train
192,今なら在庫ございます,在庫は「今」あります,今なら在庫ございます。,1,8,1,camera_dev_11594,swallow8b,swallow70b,train
193,【玉川上水でおすすめ】美容院,【おすすめ】玉川上水の美容院,【玉川上水で】おすすめ美容院,5,4,1,camera_dev_11632,human,calm22b,train
194,【玉川上水でおすすめ】美容院,玉川上水でおすすめの美容院,【玉川上水で】おすすめ美容院,2,5,3,camera_dev_11632,swallow70b,calm22b,train
